diagnosis_type	diagnosis_code	diagnosis_description	mapped_icd9	mapped_icd10	map_flag
ICD10-CM	W16.722A	Jumping or diving from boat striking bottom causing other injury, initial encounter	E8830	W16722A	10000
ICD10-CM	S82.192A	Other fracture of upper end of left tibia, initial encounter for closed fracture	82300	S82192A	10000
ICD10-CM	S45.291A	Other specified injury of axillary or brachial vein, right side, initial encounter	90302	S45291A	10000
ICD10-CM	S63.649A	Sprain of metacarpophalangeal joint of unspecified thumb, initial encounter	84212	S63649A	10000
ICD10-CM	I80.202	Phlebitis and thrombophlebitis of unspecified deep vessels of left lower extremity	45119	I80202	10000
ICD10-CM	M21.512	Acquired clawhand, left hand	73606	M21512	10000
ICD10-CM	F15.222	Other stimulant dependence with intoxication with perceptual disturbance	30440	F15222	10112
ICD10-CM	E85.1	Neuropathic heredofamilial amyloidosis	27739	E851	10000
ICD10-CM	K72.00	Acute and subacute hepatic failure without coma	570	K7200	10000
ICD10-CM	H05.122	Orbital myositis, left orbit	37612	H05122	10000
ICD10-CM	M86.18	Other acute osteomyelitis, other site	73008	M8618	10000
ICD10-CM	S32.058A	Other fracture of fifth lumbar vertebra, initial encounter for closed fracture	8054	S32058A	10000
ICD10-CM	F11.121	Opioid abuse with intoxication delirium	29281	F11121	10000
ICD10-CM	M02.869	Other reactive arthropathies, unspecified knee	71186	M02869	10000
ICD10-CM	O45.90	Premature separation of placenta, unspecified, unspecified trimester	64120	O4590	10000
ICD10-CM	M45.9	Ankylosing spondylitis of unspecified sites in spine	7200	M459	10000
ICD10-CM	S63.509A	Unspecified sprain of unspecified wrist, initial encounter	84200	S63509A	10000
ICD10-CM	M84.473A	Pathological fracture, unspecified ankle, initial encounter for fracture	73316	M84473A	10000
ICD10-CM	M10.462	Other secondary gout, left knee	27489	M10462	10000
ICD10-CM	L03.329	Acute lymphangitis of trunk, unspecified	6822	L03329	10000
ICD10-CM	S72.115S	Nondisplaced fracture of greater trochanter of left femur, sequela	9053	S72115S	10000
ICD10-CM	I83.21	Varicose veins of right lower extremity with both ulcer and inflammation	4542	I83219	10000
ICD10-CM	Z89.021	Acquired absence of right finger(s)	V4962	Z89021	10000
ICD10-CM	S82.54XS	Nondisplaced fracture of medial malleolus of right tibia, sequela	9054	S8254XS	10000
ICD10-CM	M34	Systemic sclerosis [scleroderma]	7101	M340	10000
ICD10-CM	T23.641A	Corrosion of second degree of multiple right fingers (nail), including thumb, initial encounter	94424	T23641A	10000
ICD10-CM	S72.002C	Fracture of unspecified part of neck of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC	8209	S72002C	10000
ICD10-CM	F16.10	Hallucinogen abuse, uncomplicated	30530	F1610	10000
ICD10-CM	Y84.7	Blood-sampling as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure	E8797	Y847	00000
ICD10-CM	S42.392A	Other fracture of shaft of left humerus, initial encounter for closed fracture	81221	S42392A	10000
ICD10-CM	C83.14	Mantle cell lymphoma, lymph nodes of axilla and upper limb	20044	C8314	00000
ICD10-CM	S51.032A	Puncture wound without foreign body of left elbow, initial encounter	88101	S51032A	10000
ICD10-CM	H02.001	Unspecified entropion of right upper eyelid	37400	H02001	10000
ICD10-CM	M00.232	Other streptococcal arthritis, left wrist	71103	M00232	10111
ICD10-CM	O9A.219	Injury, poisoning and certain other consequences of external causes complicating pregnancy, unspecified trimester	64890	O9A219	10000
ICD10-CM	F19.10	Other psychoactive substance abuse, uncomplicated	30590	F1910	10000
ICD10-CM	H04.20	Unspecified epiphora	37520	H04209	10000
ICD10-CM	N89.8	Other specified noninflammatory disorders of vagina	6236	N898	10000
ICD10-CM	I69.051	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right dominant side	43821	I69051	10000
ICD10-CM	K38.3	Fistula of appendix	5439	K383	10000
ICD10-CM	S72.492K	Other fracture of lower end of left femur, subsequent encounter for closed fracture with nonunion	73382	S72492K	10000
ICD10-CM	M61.551	Other ossification of muscle, right thigh	72819	M61551	10000
ICD10-CM	F16.983	Hallucinogen use, unspecified with hallucinogen persisting perception disorder (flashbacks)	29289	F16983	10000
ICD10-CM	Z51.89	Encounter for other specified aftercare	V589	Z5189	10000
ICD10-CM	L74.9	Eccrine sweat disorder, unspecified	7059	L749	10000
ICD10-CM	Q14.0	Congenital malformation of vitreous humor	74351	Q140	00000
ICD10-CM	H35.3120	Nonexudative age-related macular degeneration, left eye, stage unspecified	36251	H353120	10000
ICD10-CM	I83.892	Varicose veins of left lower extremities with other complications	4548	I83892	10000
ICD10-CM	S32.491A	Other specified fracture of right acetabulum, initial encounter for closed fracture	8080	S32491A	10000
ICD10-CM	L04	Acute lymphadenitis	683	L040	10000
ICD10-CM	T56.1X1A	Toxic effect of mercury and its compounds, accidental (unintentional), initial encounter	E8661	T561X1A	10112
ICD10-CM	S31.113D	Laceration without foreign body of abdominal wall, right lower quadrant without penetration into peritoneal cavity, subsequent encounter	V5889	S31113D	10000
ICD10-CM	O34.593	Maternal care for other abnormalities of gravid uterus, third trimester	65442	O34593	10000
ICD10-CM	T38.895S	Adverse effect of other hormones and synthetic substitutes, sequela	9095	T38895S	10111
ICD10-CM	T39.312D	Poisoning by propionic acid derivatives, intentional self-harm, subsequent encounter	V5889	T39312D	10000
ICD10-CM	T22.40XA	Corrosion of unspecified degree of shoulder and upper limb, except wrist and hand, unspecified site, initial encounter	94300	T2240XA	10000
ICD10-CM	N52.02	Corporo-venous occlusive erectile dysfunction	60784	N5202	10000
ICD10-CM	Y07.02	Wife, perpetrator of maltreatment and neglect	E9684	Y0702	10000
ICD10-CM	H47.023	Hemorrhage in optic nerve sheath, bilateral	37742	H47023	10000
ICD10-CM	S82.251K	Displaced comminuted fracture of shaft of right tibia, subsequent encounter for closed fracture with nonunion	73382	S82251K	10000
ICD10-CM	S80.01XS	Contusion of right knee, sequela	9063	S8001XS	10000
ICD10-CM	Z68.34	Body mass index (BMI) 34.0-34.9, adult	V8534	Z6834	00000
ICD10-CM	D30.12	Benign neoplasm of left renal pelvis	2231	D3012	10000
ICD10-CM	I72.4	Aneurysm of artery of lower extremity	4423	I724	00000
ICD10-CM	K64.0	First degree hemorrhoids	4557	K640	10000
ICD10-CM	I82.422	Acute embolism and thrombosis of left iliac vein	45341	I82422	10000
ICD10-CM	I69.861	Other paralytic syndrome following other cerebrovascular disease affecting right dominant side	43851	I69861	10000
ICD10-CM	G25	Other extrapyramidal and movement disorders	3331	G250	10000
ICD10-CM	S92.211A	Displaced fracture of cuboid bone of right foot, initial encounter for closed fracture	82523	S92211A	10000
ICD10-CM	M76.821	Posterior tibial tendinitis, right leg	72672	M76821	10000
ICD10-CM	V48.2XXS	Person on outside of car injured in noncollision transport accident in nontraffic accident, sequela	E9290	V482XXS	10000
ICD10-CM	M94.8X9	Other specified disorders of cartilage, unspecified sites	73399	M948X9	10000
ICD10-CM	S60.362A	Insect bite (nonvenomous) of left thumb, initial encounter	9154	S60362A	10000
ICD10-CM	T83.69XA	Infection and inflammatory reaction due to other prosthetic device, implant and graft in genital tract, initial encounter	99665	T8369XA	10000
ICD10-CM	O63.1	Prolonged second stage (of labor)	66221	O631	10000
ICD10-CM	C91.42	Hairy cell leukemia, in relapse	20240	C9142	10000
ICD10-CM	S62.661G	Nondisplaced fracture of distal phalanx of left index finger, subsequent encounter for fracture with delayed healing	V5412	S62661G	10000
ICD10-CM	T46.4X4A	Poisoning by angiotensin-converting-enzyme inhibitors, undetermined, initial encounter	E9804	T464X4A	10112
ICD10-CM	M80.079G	Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with delayed healing	V5426	M80079G	10000
ICD10-CM	M21.532	Acquired clawfoot, left foot	73674	M21532	10000
ICD10-CM	T85.840D	Pain due to nervous system prosthetic devices, implants and grafts, subsequent encounter	V5889	T85840D	10000
ICD10-CM	S33.8XXD	Sprain of other parts of lumbar spine and pelvis, subsequent encounter	V5889	S338XXD	10000
ICD10-CM	Q27.32	Arteriovenous malformation of vessel of lower limb	74764	Q2732	00000
ICD10-CM	O32.1XX2	Maternal care for breech presentation, fetus 2	65223	O321XX2	10000
ICD10-CM	S80.911S	Unspecified superficial injury of right knee, sequela	9062	S80911S	10000
ICD10-CM	S92.313D	Displaced fracture of first metatarsal bone, unspecified foot, subsequent encounter for fracture with routine healing	V5416	S92313D	10000
ICD10-CM	M97.9XXS	Periprosthetic fracture around unspecified internal prosthetic joint, sequela	9093	M979XXS	10000
ICD10-CM	V19.00XA	Pedal cycle driver injured in collision with unspecified motor vehicles in nontraffic accident, initial encounter	E8226	V1900XA	10000
ICD10-CM	S12.030D	Displaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with routine healing	V5417	S12030D	10000
ICD10-CM	N47.8	Other disorders of prepuce	605	N478	10000
ICD10-CM	S82.034D	Nondisplaced transverse fracture of right patella, subsequent encounter for closed fracture with routine healing	V5416	S82034D	10000
ICD10-CM	N60.39	Fibrosclerosis of unspecified breast	6103	N6039	10000
ICD10-CM	K91.86	Retained cholelithiasis following cholecystectomy	99741	K9186	00000
ICD10-CM	I24.9	Acute ischemic heart disease, unspecified	41189	I249	10000
ICD10-CM	T20.27XD	Burn of second degree of neck, subsequent encounter	V5889	T2027XD	10000
ICD10-CM	S42.421D	Displaced comminuted supracondylar fracture without intercondylar fracture of right humerus, subsequent encounter for fracture with routine healing	V5411	S42421D	10000
ICD10-CM	O32.1XX2	Maternal care for breech presentation, fetus 2	65211	O321XX2	10000
ICD10-CM	L87.2	Elastosis perforans serpiginosa	7011	L872	10000
ICD10-CM	S20.122A	Blister (nonthermal) of breast, left breast, initial encounter	9112	S20122A	10000
ICD10-CM	S72.301A	Unspecified fracture of shaft of right femur, initial encounter for closed fracture	82101	S72301A	10000
ICD10-CM	H30.001	Unspecified focal chorioretinal inflammation, right eye	36300	H30001	10000
ICD10-CM	S01.80XA	Unspecified open wound of other part of head, initial encounter	87349	S0180XA	10000
ICD10-CM	S92.521D	Displaced fracture of medial phalanx of right lesser toe(s), subsequent encounter for fracture with routine healing	V5416	S92521D	10000
ICD10-CM	G90.09	Other idiopathic peripheral autonomic neuropathy	33709	G9009	10000
ICD10-CM	T22.10XD	Burn of first degree of shoulder and upper limb, except wrist and hand, unspecified site, subsequent encounter	V5889	T2210XD	10000
ICD10-CM	D46.0	Refractory anemia without ring sideroblasts, so stated	23872	D460	10000
ICD10-CM	S01.05XA	Open bite of scalp, initial encounter	8730	S0105XA	10000
ICD10-CM	V82.8XXD	Occupant of streetcar injured in other specified transport accidents, subsequent encounter	E8294	V828XXD	10000
ICD10-CM	H40.32X1	Glaucoma secondary to eye trauma, left eye, mild stage	36565	H4032X1	10111
ICD10-CM	C64.9	Malignant neoplasm of unspecified kidney, except renal pelvis	1890	C649	10000
ICD10-CM	F33.40	Major depressive disorder, recurrent, in remission, unspecified	29630	F3340	10000
ICD10-CM	N52.31	Erectile dysfunction following radical prostatectomy	60784	N5231	10000
ICD10-CM	M80.80XS	Other osteoporosis with current pathological fracture, unspecified site, sequela	9055	M8080XS	10000
ICD10-CM	S91.001A	Unspecified open wound, right ankle, initial encounter	8910	S91001A	10000
ICD10-CM	Z3A.42	42 weeks gestation of pregnancy	NoDx	Z3A42	11000
ICD10-CM	D25.1	Intramural leiomyoma of uterus	2181	D251	00000
ICD10-CM	Y92.198	Other place in other specified residential institution as the place of occurrence of the external cause	E8497	Y92198	10000
ICD10-CM	T18.9XXS	Foreign body of alimentary tract, part unspecified, sequela	9085	T189XXS	10000
ICD10-CM	M90.862	Osteopathy in diseases classified elsewhere, left lower leg	7318	M90862	10000
ICD10-CM	G81.93	Hemiplegia, unspecified affecting right nondominant side	34292	G8193	10000
ICD10-CM	H40.41	Glaucoma secondary to eye inflammation, right eye	36562	H4041X0	10111
ICD10-CM	S82.091F	Other fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing	V5416	S82091F	10000
ICD10-CM	B50.8	Other severe and complicated Plasmodium falciparum malaria	0849	B508	10000
ICD10-CM	B39.2	Pulmonary histoplasmosis capsulati, unspecified	11505	B392	10000
ICD10-CM	M76.32	Iliotibial band syndrome, left leg	7265	M7632	10000
ICD10-CM	N99.843	Postprocedural seroma of a genitourinary system organ or structure following other procedure	99813	N99843	10000
ICD10-CM	S82.822A	Torus fracture of lower end of left fibula, initial encounter for closed fracture	82341	S82822A	10000
ICD10-CM	T43.1X5A	Adverse effect of monoamine-oxidase-inhibitor antidepressants, initial encounter	E9390	T431X5A	10112
ICD10-CM	O36.63X1	Maternal care for excessive fetal growth, third trimester, fetus 1	65663	O3663X1	10000
ICD10-CM	M1A.0590	Idiopathic chronic gout, unspecified hip, without tophus (tophi)	27402	M1A0590	10000
ICD10-CM	H04.039	Chronic enlargement of unspecified lacrimal gland	37503	H04039	10000
ICD10-CM	S52.379F	Galeazzi's fracture of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing	V5412	S52379F	10000
ICD10-CM	H16.029	Ring corneal ulcer, unspecified eye	37002	H16029	10000
ICD10-CM	T84.127S	Displacement of internal fixation device of bone of left lower leg, sequela	9093	T84127S	10000
ICD10-CM	S30.3XXD	Contusion of anus, subsequent encounter	V5889	S303XXD	10000
ICD10-CM	C16.5	Malignant neoplasm of lesser curvature of stomach, unspecified	1515	C165	00000
ICD10-CM	O60.14X0	Preterm labor third trimester with preterm delivery third trimester, not applicable or unspecified	64421	O6014X0	10000
ICD10-CM	S42.296A	Other nondisplaced fracture of upper end of unspecified humerus, initial encounter for closed fracture	81202	S42296A	10000
ICD10-CM	S80.12XA	Contusion of left lower leg, initial encounter	92410	S8012XA	10000
ICD10-CM	F43.24	Adjustment disorder with disturbance of conduct	3093	F4324	00000
ICD10-CM	S06.1X0A	Traumatic cerebral edema without loss of consciousness, initial encounter	85401	S061X0A	10111
ICD10-CM	E11.3539	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye	25050	E113539	10111
ICD10-CM	G37.8	Other specified demyelinating diseases of central nervous system	3418	G378	10000
ICD10-CM	S52.691G	Other fracture of lower end of right ulna, subsequent encounter for closed fracture with delayed healing	V5412	S52691G	10000
ICD10-CM	S62.622A	Displaced fracture of medial phalanx of right middle finger, initial encounter for closed fracture	81601	S62622A	10000
ICD10-CM	S09.92XS	Unspecified injury of nose, sequela	9089	S0992XS	10000
ICD10-CM	G56.80	Other specified mononeuropathies of unspecified upper limb	3548	G5680	10000
ICD10-CM	M23.004	Cystic meniscus, unspecified medial meniscus, left knee	7175	M23004	10000
ICD10-CM	S52.615G	Nondisplaced fracture of left ulna styloid process, subsequent encounter for closed fracture with delayed healing	V5412	S52615G	10000
ICD10-CM	O66.9	Obstructed labor, unspecified	66091	O669	10000
ICD10-CM	H11.042	Peripheral pterygium, stationary, left eye	37241	H11042	10000
ICD10-CM	R62.59	Other lack of expected normal physiological development in childhood	78340	R6259	10000
ICD10-CM	C84.48	Peripheral T-cell lymphoma, not classified, lymph nodes of multiple sites	20278	C8448	10000
ICD10-CM	R19.31	Right upper quadrant abdominal rigidity	78941	R1931	00000
ICD10-CM	J38.02	Paralysis of vocal cords and larynx, bilateral	47834	J3802	10000
ICD10-CM	C76.0	Malignant neoplasm of head, face and neck	1950	C760	00000
ICD10-CM	W40.9XXA	Explosion of unspecified explosive materials, initial encounter	E9239	W409XXA	10000
ICD10-CM	T25.329A	Burn of third degree of unspecified foot, initial encounter	94532	T25329A	10000
ICD10-CM	S56.011A	Strain of flexor muscle, fascia and tendon of right thumb at forearm level, initial encounter	8419	S56011A	10000
ICD10-CM	C49.3	Malignant neoplasm of connective and soft tissue of thorax	1714	C493	10000
ICD10-CM	S83.419A	Sprain of medial collateral ligament of unspecified knee, initial encounter	8441	S83419A	10000
ICD10-CM	S03.8XXA	Sprain of joints and ligaments of other parts of head, initial encounter	8488	S038XXA	10000
ICD10-CM	E80.21	Acute intermittent (hepatic) porphyria	2771	E8021	10000
ICD10-CM	D05.00	Lobular carcinoma in situ of unspecified breast	2330	D0500	10000
